Accession (Identificador),Begin (Inicio de la trasnscripción),End (final de la transcripción),Orientation,Name (Alias),Symbol,Gene Type,Protein accession (Posible identificador de la proteína),Protein name (Product),Protein length,Locus tag
NZ_CP009124.1,15537,15959,minus,ATP-binding protein,,protein-coding,WP_003978801.1,ATP-binding protein,140,SLIV_RS00070
NZ_CP009124.1,15947,17139,plus,IS3 family transposase,,protein-coding,WP_398896554.1,IS3 family transposase,397,SLIV_RS00080
NZ_CP009124.1,17147,17872,minus,hypothetical protein,,protein-coding,WP_003978800.1,hypothetical protein,241,SLIV_RS00085
NZ_CP009124.1,18023,18835,minus,2-oxoglutarate and iron-dependent oxygenase domain-containing protein,,protein-coding,WP_003978799.1,2-oxoglutarate and iron-dependent oxygenase domain-containing protein,270,SLIV_RS00090
NZ_CP009124.1,18911,20260,minus,TIR domain-containing protein,,protein-coding,WP_079021281.1,TIR domain-containing protein,449,SLIV_RS00095
NZ_CP009124.1,20510,21043,plus,VOC family protein,,protein-coding,WP_016325587.1,VOC family protein,177,SLIV_RS00100
NZ_CP009124.1,21195,21959,plus,IS5-like element IS493 family transposase,,protein-coding,WP_003977823.1,IS5-like element IS493 family transposase,254,SLIV_RS00105
NZ_CP009124.1,22761,23213,plus,hypothetical protein,,protein-coding,WP_003978797.1,hypothetical protein,150,SLIV_RS00110
NZ_CP009124.1,23265,23597,plus,endonuclease domain-containing protein,,protein-coding,WP_003978796.1,endonuclease domain-containing protein,110,SLIV_RS00115
NZ_CP009124.1,23824,24375,plus,hypothetical protein,,protein-coding,WP_003978795.1,hypothetical protein,183,SLIV_RS00120
NZ_CP009124.1,24639,24752,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS41105
NZ_CP009124.1,24773,25496,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS40500
NZ_CP009124.1,25502,25954,plus,hypothetical protein,,protein-coding,WP_037667012.1,hypothetical protein,150,SLIV_RS00140
NZ_CP009124.1,25996,26292,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS00145
NZ_CP009124.1,26436,27485,plus,terpene synthase family protein,,protein-coding,WP_037667010.1,terpene synthase family protein,349,SLIV_RS00150
NZ_CP009124.1,27673,29214,minus,hypothetical protein,,protein-coding,WP_003978789.1,hypothetical protein,513,SLIV_RS00155
NZ_CP009124.1,29915,30055,plus,hypothetical protein,,protein-coding,WP_016328288.1,hypothetical protein,46,SLIV_RS40505
NZ_CP009124.1,30739,32454,plus,pentapeptide repeat-containing protein,,protein-coding,WP_016328286.1,pentapeptide repeat-containing protein,571,SLIV_RS00165
NZ_CP009124.1,32774,33178,plus,hypothetical protein,,protein-coding,WP_038534179.1,hypothetical protein,134,SLIV_RS00170
NZ_CP009124.1,33909,34586,minus,response regulator,,protein-coding,WP_016328284.1,response regulator,225,SLIV_RS00175
NZ_CP009124.1,34583,35926,minus,sensor histidine kinase,,protein-coding,WP_016328283.1,sensor histidine kinase,447,SLIV_RS00180
NZ_CP009124.1,36101,36814,plus,ABC transporter ATP-binding protein,,protein-coding,WP_016328282.1,ABC transporter ATP-binding protein,237,SLIV_RS00185
NZ_CP009124.1,36928,39174,plus,ABC transporter permease,,protein-coding,WP_038535477.1,ABC transporter permease,748,SLIV_RS00190
NZ_CP009124.1,39693,40148,minus,endonuclease domain-containing protein,,protein-coding,WP_106435216.1,endonuclease domain-containing protein,151,SLIV_RS00200
NZ_CP009124.1,40203,40451,minus,integrase,,protein-coding,WP_234308155.1,integrase,82,SLIV_RS00205
NZ_CP009124.1,40660,41481,plus,HEAT repeat domain-containing protein,,protein-coding,WP_186009702.1,HEAT repeat domain-containing protein,273,SLIV_RS00210
NZ_CP009124.1,42017,42541,plus,SMI1/KNR4 family protein,,protein-coding,WP_016328276.1,SMI1/KNR4 family protein,174,SLIV_RS00215
NZ_CP009124.1,42586,43557,minus,phosphotransferase family protein,,protein-coding,WP_003971303.1,phosphotransferase family protein,323,SLIV_RS00220
NZ_CP009124.1,44646,44774,plus,hypothetical protein,,protein-coding,WP_260682632.1,hypothetical protein,42,SLIV_RS40510
NZ_CP009124.1,44932,46182,plus,cytochrome P450 family protein,,protein-coding,WP_003971305.1,cytochrome P450 family protein,416,SLIV_RS00225
NZ_CP009124.1,46190,46654,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS40515
NZ_CP009124.1,47277,47513,plus,hypothetical protein,,protein-coding,WP_003971307.1,hypothetical protein,78,SLIV_RS00230
NZ_CP009124.1,47572,47982,plus,helix-turn-helix domain-containing protein,,protein-coding,WP_050796848.1,helix-turn-helix domain-containing protein,136,SLIV_RS00235
NZ_CP009124.1,48936,50045,plus,serine hydrolase domain-containing protein,,protein-coding,WP_016328272.1,serine hydrolase domain-containing protein,369,SLIV_RS00240
NZ_CP009124.1,50100,50934,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS00245
NZ_CP009124.1,51075,51517,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS00250
NZ_CP009124.1,51707,52687,plus,hypothetical protein,,protein-coding,WP_003971312.1,hypothetical protein,326,SLIV_RS00255
NZ_CP009124.1,53016,53306,minus,sulfurtransferase TusA family protein,,protein-coding,WP_079021056.1,sulfurtransferase TusA family protein,96,SLIV_RS40990
NZ_CP009124.1,53686,54258,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003971313.1,TetR/AcrR family transcriptional regulator,190,SLIV_RS00265
NZ_CP009124.1,54374,54784,plus,DUF4260 family protein,,protein-coding,WP_003971315.1,DUF4260 family protein,136,SLIV_RS00270
NZ_CP009124.1,54860,55813,plus,prolipoprotein diacylglyceryl transferase,lgt,protein-coding,WP_003971316.1,prolipoprotein diacylglyceryl transferase,317,SLIV_RS00275
NZ_CP009124.1,56127,56321,minus,hypothetical protein,,protein-coding,WP_234308157.1,hypothetical protein,64,SLIV_RS40520
NZ_CP009124.1,57196,57609,minus,hypothetical protein,,protein-coding,WP_003971318.1,hypothetical protein,137,SLIV_RS00285
NZ_CP009124.1,57888,58130,plus,hypothetical protein,,protein-coding,WP_162483871.1,hypothetical protein,80,SLIV_RS39895
NZ_CP009124.1,58298,59059,plus,ZIP family metal transporter,,protein-coding,WP_003971320.1,ZIP family metal transporter,253,SLIV_RS00295
NZ_CP009124.1,59522,60286,minus,SDR family oxidoreductase,,protein-coding,WP_003971321.1,SDR family oxidoreductase,254,SLIV_RS00300
NZ_CP009124.1,60388,61245,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_037665931.1,helix-turn-helix transcriptional regulator,285,SLIV_RS00305
NZ_CP009124.1,61321,62037,minus,sulfite exporter TauE/SafE family protein,,protein-coding,WP_173668794.1,sulfite exporter TauE/SafE family protein,238,SLIV_RS00310
NZ_CP009124.1,62158,62811,minus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_037665932.1,TetR/AcrR family transcriptional regulator,217,SLIV_RS00315
NZ_CP009124.1,62870,63763,plus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_003971325.1,SDR family NAD(P)-dependent oxidoreductase,297,SLIV_RS00320
NZ_CP009124.1,63724,64215,minus,hypothetical protein,,protein-coding,WP_003971326.1,hypothetical protein,163,SLIV_RS00325
NZ_CP009124.1,64900,65751,minus,class I SAM-dependent methyltransferase,,protein-coding,WP_003971327.1,class I SAM-dependent methyltransferase,283,SLIV_RS00330
NZ_CP009124.1,65823,67259,plus,DUF998 domain-containing protein,,protein-coding,WP_162483872.1,DUF998 domain-containing protein,478,SLIV_RS39900
NZ_CP009124.1,67505,68281,minus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_186009700.1,SDR family NAD(P)-dependent oxidoreductase,258,SLIV_RS00340
NZ_CP009124.1,68321,68953,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003971331.1,TetR/AcrR family transcriptional regulator,210,SLIV_RS00345
NZ_CP009124.1,69659,69952,plus,hypothetical protein,,protein-coding,WP_003971332.1,hypothetical protein,97,SLIV_RS41110
NZ_CP009124.1,70242,70973,plus,class I SAM-dependent methyltransferase,,protein-coding,WP_003971334.1,class I SAM-dependent methyltransferase,243,SLIV_RS00355
NZ_CP009124.1,71083,71755,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS40175
NZ_CP009124.1,71883,72116,minus,YrhK family protein,,protein-coding,WP_003971337.1,YrhK family protein,77,SLIV_RS00370
NZ_CP009124.1,72374,73012,minus,TetR/AcrR family transcriptional regulator C-terminal domain-containing protein,,protein-coding,WP_011031918.1,TetR/AcrR family transcriptional regulator C-terminal domain-containing protein,212,SLIV_RS00375
NZ_CP009124.1,73586,73759,plus,hypothetical protein,,protein-coding,WP_016328252.1,hypothetical protein,57,SLIV_RS40530
NZ_CP009124.1,74047,75276,plus,FAD-dependent monooxygenase,,protein-coding,WP_079021060.1,FAD-dependent monooxygenase,409,SLIV_RS00390
NZ_CP009124.1,75282,76478,plus,FAD-dependent monooxygenase,,protein-coding,WP_003971343.1,FAD-dependent monooxygenase,398,SLIV_RS00395
NZ_CP009124.1,76703,76939,plus,beta/gamma crystallin domain-containing protein,,protein-coding,WP_003971344.1,beta/gamma crystallin domain-containing protein,78,SLIV_RS00400
NZ_CP009124.1,77292,77474,plus,hypothetical protein,,protein-coding,WP_244300874.1,hypothetical protein,60,SLIV_RS00405
NZ_CP009124.1,77649,77849,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS40535
NZ_CP009124.1,77925,78825,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS40390
NZ_CP009124.1,79060,79665,minus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_037667038.1,TetR/AcrR family transcriptional regulator,201,SLIV_RS00425
NZ_CP009124.1,79696,80535,minus,NADPH-dependent oxidoreductase,,protein-coding,WP_003971349.1,NADPH-dependent oxidoreductase,279,SLIV_RS00430
NZ_CP009124.1,80685,81196,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS37765
NZ_CP009124.1,81300,82241,minus,helix-turn-helix domain-containing protein,,protein-coding,WP_003971350.1,helix-turn-helix domain-containing protein,313,SLIV_RS00435
NZ_CP009124.1,82384,83109,plus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_003971351.1,SDR family NAD(P)-dependent oxidoreductase,241,SLIV_RS00440
NZ_CP009124.1,83216,83983,minus,IclR family transcriptional regulator,,protein-coding,WP_003971352.1,IclR family transcriptional regulator,255,SLIV_RS00445
NZ_CP009124.1,84140,85069,plus,alpha/beta fold hydrolase,,protein-coding,WP_003971353.1,alpha/beta fold hydrolase,309,SLIV_RS00450
NZ_CP009124.1,85127,85584,minus,uncharacterized gene,,pseudogene,,,,SLIV_RS00455
NZ_CP009124.1,86068,86634,minus,RICIN domain-containing protein,,protein-coding,WP_037665936.1,RICIN domain-containing protein,188,SLIV_RS00460
NZ_CP009124.1,86631,87272,minus,RICIN domain-containing protein,,protein-coding,WP_063628654.1,RICIN domain-containing protein,213,SLIV_RS00465
NZ_CP009124.1,87912,88202,plus,hypothetical protein,,protein-coding,WP_003971356.1,hypothetical protein,96,SLIV_RS40995
NZ_CP009124.1,88476,88853,minus,ArsR/SmtB family transcription factor,,protein-coding,WP_003971357.1,ArsR/SmtB family transcription factor,125,SLIV_RS00475
NZ_CP009124.1,88965,90227,plus,MFS transporter,,protein-coding,WP_016328237.1,MFS transporter,420,SLIV_RS00480
NZ_CP009124.1,90584,91138,plus,GNAT family N-acetyltransferase,,protein-coding,WP_046247719.1,GNAT family N-acetyltransferase,184,SLIV_RS00485
NZ_CP009124.1,91241,91504,plus,transposase family protein,,protein-coding,WP_231909043.1,transposase family protein,87,SLIV_RS00490
NZ_CP009124.1,91747,91917,plus,hypothetical protein,,protein-coding,WP_159025376.1,hypothetical protein,56,SLIV_RS39760
NZ_CP009124.1,92267,92851,plus,hypothetical protein,,protein-coding,WP_003971362.1,hypothetical protein,194,SLIV_RS00495
NZ_CP009124.1,93237,93698,plus,hypothetical protein,,protein-coding,WP_079021283.1,hypothetical protein,153,SLIV_RS37780
NZ_CP009124.1,93755,94318,minus,tetratricopeptide repeat protein,,protein-coding,WP_003971364.1,tetratricopeptide repeat protein,187,SLIV_RS00500
NZ_CP009124.1,94326,95168,minus,NAD(P)H-binding protein,,protein-coding,WP_003971365.1,NAD(P)H-binding protein,280,SLIV_RS00505
NZ_CP009124.1,95168,95575,minus,nuclear transport factor 2 family protein,,protein-coding,WP_016328231.1,nuclear transport factor 2 family protein,135,SLIV_RS00510
NZ_CP009124.1,95738,96565,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_003971367.1,helix-turn-helix transcriptional regulator,275,SLIV_RS00515
NZ_CP009124.1,96730,97620,minus,NmrA family NAD(P)-binding protein,,protein-coding,WP_037665937.1,NmrA family NAD(P)-binding protein,296,SLIV_RS00520
NZ_CP009124.1,97704,98144,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971369.1,MarR family winged helix-turn-helix transcriptional regulator,146,SLIV_RS00525
NZ_CP009124.1,98850,99152,plus,NAD-dependent epimerase/dehydratase family protein,,protein-coding,WP_079021286.1,NAD-dependent epimerase/dehydratase family protein,100,SLIV_RS37785
NZ_CP009124.1,99211,100086,minus,glycosyltransferase family 2 protein,,protein-coding,WP_003971370.1,glycosyltransferase family 2 protein,291,SLIV_RS00530
NZ_CP009124.1,100169,100744,plus,nucleoside-diphosphate-sugar pyrophosphorylase,,protein-coding,WP_003971371.1,nucleoside-diphosphate-sugar pyrophosphorylase,191,SLIV_RS37790
NZ_CP009124.1,101042,101722,minus,restriction endonuclease,,protein-coding,WP_003971372.1,restriction endonuclease,226,SLIV_RS00535
NZ_CP009124.1,102579,103127,plus,putative immunity protein,,protein-coding,WP_037665939.1,putative immunity protein,182,SLIV_RS39920
NZ_CP009124.1,103153,103866,minus,transposase family protein,,protein-coding,WP_079021064.1,transposase family protein,237,SLIV_RS41000
NZ_CP009124.1,103770,104135,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS00550
NZ_CP009124.1,104311,106044,minus,SpoIIE family protein phosphatase,,protein-coding,WP_003971380.1,SpoIIE family protein phosphatase,577,SLIV_RS00555
NZ_CP009124.1,106828,107070,minus,DUF5133 domain-containing protein,,protein-coding,WP_003971382.1,DUF5133 domain-containing protein,80,SLIV_RS00565
NZ_CP009124.1,107228,107566,minus,STAS domain-containing protein,,protein-coding,WP_016328224.1,STAS domain-containing protein,112,SLIV_RS00570
NZ_CP009124.1,107712,108095,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_003971384.1,helix-turn-helix transcriptional regulator,127,SLIV_RS00575
NZ_CP009124.1,108186,108740,plus,DUF6328 family protein,,protein-coding,WP_003971385.1,DUF6328 family protein,184,SLIV_RS00580
NZ_CP009124.1,109036,109542,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971386.1,MarR family winged helix-turn-helix transcriptional regulator,168,SLIV_RS00590
NZ_CP009124.1,109593,110006,minus,STAS domain-containing protein,,protein-coding,WP_003971387.1,STAS domain-containing protein,137,SLIV_RS00595
NZ_CP009124.1,110003,111097,minus,cobalamin B12-binding domain-containing protein,,protein-coding,WP_003971388.1,cobalamin B12-binding domain-containing protein,364,SLIV_RS00600
NZ_CP009124.1,111094,112725,minus,PP2C family protein-serine/threonine phosphatase,,protein-coding,WP_003971389.1,PP2C family protein-serine/threonine phosphatase,543,SLIV_RS00605
NZ_CP009124.1,112969,114147,minus,PP2C family protein-serine/threonine phosphatase,,protein-coding,WP_003971390.1,PP2C family protein-serine/threonine phosphatase,392,SLIV_RS00610
NZ_CP009124.1,114739,115606,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS39180
NZ_CP009124.1,115668,116153,plus,hypothetical protein,,protein-coding,WP_003971393.1,hypothetical protein,161,SLIV_RS00620
NZ_CP009124.1,116274,116750,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971394.1,MarR family winged helix-turn-helix transcriptional regulator,158,SLIV_RS00625
NZ_CP009124.1,116781,117845,plus,bifunctional NAD(P)H-dependent oxidoreductase/GNAT family N-acetyltransferase,,protein-coding,WP_003971395.1,bifunctional NAD(P)H-dependent oxidoreductase/GNAT family N-acetyltransferase,354,SLIV_RS00630
NZ_CP009124.1,118101,118283,plus,hypothetical protein,,protein-coding,WP_003971396.1,hypothetical protein,60,SLIV_RS00635
NZ_CP009124.1,118477,118629,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS39185
NZ_CP009124.1,119171,119788,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS00645
NZ_CP009124.1,119850,120233,plus,RidA family protein,,protein-coding,WP_003971399.1,RidA family protein,127,SLIV_RS00650
NZ_CP009124.1,120467,121177,plus,hypothetical protein,,protein-coding,WP_186009699.1,hypothetical protein,236,SLIV_RS40180
NZ_CP009124.1,121289,121426,minus,hypothetical protein,,protein-coding,WP_159025369.1,hypothetical protein,45,SLIV_RS39765
NZ_CP009124.1,121682,123946,plus,FUSC family protein,,protein-coding,WP_003971401.1,FUSC family protein,754,SLIV_RS00660
NZ_CP009124.1,123981,124193,minus,AraC family transcriptional regulator,,protein-coding,WP_003971402.1,AraC family transcriptional regulator,70,SLIV_RS00665
NZ_CP009124.1,124237,124794,minus,telomere-protecting terminal protein Tpg,tpg,protein-coding,WP_003971403.1,telomere-protecting terminal protein Tpg,185,SLIV_RS00670
NZ_CP009124.1,124804,127023,minus,telomere-associated protein Tap,tap,protein-coding,WP_003971404.1,telomere-associated protein Tap,739,SLIV_RS00675
NZ_CP009124.1,127037,127255,minus,hypothetical protein,,protein-coding,WP_231909041.1,hypothetical protein,72,SLIV_RS40545
NZ_CP009124.1,127807,128046,plus,hypothetical protein,,protein-coding,WP_003971406.1,hypothetical protein,79,SLIV_RS37820
NZ_CP009124.1,128122,128673,minus,YciI family protein,,protein-coding,WP_003971407.1,YciI family protein,183,SLIV_RS00685
NZ_CP009124.1,129170,129508,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003971408.1,GNAT family N-acetyltransferase,112,SLIV_RS00690
NZ_CP009124.1,129543,130538,minus,pirin family protein,,protein-coding,WP_016328208.1,pirin family protein,331,SLIV_RS00695
NZ_CP009124.1,130645,130953,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003971410.1,GNAT family N-acetyltransferase,102,SLIV_RS00700
NZ_CP009124.1,131105,131572,plus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971411.1,MarR family winged helix-turn-helix transcriptional regulator,155,SLIV_RS00705
NZ_CP009124.1,131962,132618,minus,hydrolase,,protein-coding,WP_016328207.1,hydrolase,218,SLIV_RS00710
NZ_CP009124.1,132964,133146,plus,hypothetical protein,,protein-coding,WP_016328206.1,hypothetical protein,60,SLIV_RS00715
NZ_CP009124.1,133498,134139,minus,hypothetical protein,,protein-coding,WP_003971415.1,hypothetical protein,213,SLIV_RS00720
NZ_CP009124.1,134317,135732,plus,helix-turn-helix domain-containing protein,,protein-coding,WP_079021067.1,helix-turn-helix domain-containing protein,471,SLIV_RS00725
NZ_CP009124.1,135838,137043,plus,hypothetical protein,,protein-coding,WP_234308097.1,hypothetical protein,401,SLIV_RS00730
NZ_CP009124.1,137226,137810,minus,DinB family protein,,protein-coding,WP_003971418.1,DinB family protein,194,SLIV_RS00735
NZ_CP009124.1,138047,138808,minus,maleylpyruvate isomerase family mycothiol-dependent enzyme,,protein-coding,WP_003971419.1,maleylpyruvate isomerase family mycothiol-dependent enzyme,253,SLIV_RS00740
NZ_CP009124.1,138917,139927,minus,hypothetical protein,,protein-coding,WP_037665946.1,hypothetical protein,336,SLIV_RS00745
NZ_CP009124.1,140078,140734,plus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003971421.1,TetR/AcrR family transcriptional regulator,218,SLIV_RS00750
NZ_CP009124.1,140865,141638,plus,hypothetical protein,,protein-coding,WP_003971422.1,hypothetical protein,257,SLIV_RS00755
NZ_CP009124.1,141790,142155,plus,hypothetical protein,,protein-coding,WP_234328619.1,hypothetical protein,121,SLIV_RS00760
NZ_CP009124.1,142209,142664,minus,SRPBCC family protein,,protein-coding,WP_011031851.1,SRPBCC family protein,151,SLIV_RS00765
NZ_CP009124.1,142928,143731,minus,SAM-dependent methyltransferase,,protein-coding,WP_003971425.1,SAM-dependent methyltransferase,267,SLIV_RS00770
NZ_CP009124.1,143797,144336,minus,GNAT family N-acetyltransferase,,protein-coding,WP_003971426.1,GNAT family N-acetyltransferase,179,SLIV_RS00775
NZ_CP009124.1,144477,145166,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS37825
NZ_CP009124.1,145158,145838,minus,response regulator,,protein-coding,WP_016328197.1,response regulator,226,SLIV_RS00785
NZ_CP009124.1,145846,147375,minus,sensor histidine kinase,,protein-coding,WP_003971428.1,sensor histidine kinase,509,SLIV_RS00790
NZ_CP009124.1,147434,148180,minus,phosphotransferase family protein,,protein-coding,WP_003971429.1,phosphotransferase family protein,248,SLIV_RS00795
NZ_CP009124.1,148289,148717,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971430.1,MarR family winged helix-turn-helix transcriptional regulator,142,SLIV_RS00800
NZ_CP009124.1,148817,149467,plus,MBL fold metallo-hydrolase,,protein-coding,WP_079021287.1,MBL fold metallo-hydrolase,216,SLIV_RS00805
NZ_CP009124.1,149501,149785,minus,Atu4866 domain-containing protein,,protein-coding,WP_003971432.1,Atu4866 domain-containing protein,94,SLIV_RS00810
NZ_CP009124.1,149923,150777,plus,helix-turn-helix transcriptional regulator,,protein-coding,WP_003971433.1,helix-turn-helix transcriptional regulator,284,SLIV_RS00815
NZ_CP009124.1,150820,152010,minus,FAD-dependent oxidoreductase,,protein-coding,WP_003971434.1,FAD-dependent oxidoreductase,396,SLIV_RS00820
NZ_CP009124.1,152089,152796,minus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_078653048.1,TetR/AcrR family transcriptional regulator,235,SLIV_RS00825
NZ_CP009124.1,152842,154092,minus,CynX/NimT family MFS transporter,,protein-coding,WP_003971436.1,CynX/NimT family MFS transporter,416,SLIV_RS00830
NZ_CP009124.1,154089,154799,minus,FadR/GntR family transcriptional regulator,,protein-coding,WP_003971437.1,FadR/GntR family transcriptional regulator,236,SLIV_RS00835
NZ_CP009124.1,154915,155799,minus,geranyl diphosphate 2-C-methyltransferase,,protein-coding,WP_003971438.1,geranyl diphosphate 2-C-methyltransferase,294,SLIV_RS00840
NZ_CP009124.1,155815,157137,minus,family 2 encapsulin nanocompartment cargo protein terpene cyclase,,protein-coding,WP_011031839.1,family 2 encapsulin nanocompartment cargo protein terpene cyclase,440,SLIV_RS00845
NZ_CP009124.1,157220,158635,minus,family 2B encapsulin nanocompartment shell protein,,protein-coding,WP_003971441.1,family 2B encapsulin nanocompartment shell protein,471,SLIV_RS00850
NZ_CP009124.1,158928,160025,plus,MerR family transcriptional regulator,,protein-coding,WP_016328190.1,MerR family transcriptional regulator,365,SLIV_RS00855
NZ_CP009124.1,160119,161426,minus,phytase,,protein-coding,WP_003971443.1,phytase,435,SLIV_RS00860
NZ_CP009124.1,161626,162081,minus,MarR family winged helix-turn-helix transcriptional regulator,,protein-coding,WP_003971444.1,MarR family winged helix-turn-helix transcriptional regulator,151,SLIV_RS00865
NZ_CP009124.1,162158,162526,plus,VOC family protein,,protein-coding,WP_003971445.1,VOC family protein,122,SLIV_RS00870
NZ_CP009124.1,162579,163151,minus,TetR/AcrR family transcriptional regulator,,protein-coding,WP_003971446.1,TetR/AcrR family transcriptional regulator,190,SLIV_RS00875
NZ_CP009124.1,163214,164185,plus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_003971447.1,SDR family NAD(P)-dependent oxidoreductase,323,SLIV_RS00880
NZ_CP009124.1,164586,166001,minus,salicylate synthase,,protein-coding,WP_003971449.1,salicylate synthase,471,SLIV_RS00890
NZ_CP009124.1,166060,167823,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003971450.1,ABC transporter ATP-binding protein,587,SLIV_RS00895
NZ_CP009124.1,167820,169652,minus,ABC transporter ATP-binding protein,,protein-coding,WP_003971451.1,ABC transporter ATP-binding protein,610,SLIV_RS00900
NZ_CP009124.1,169649,170377,minus,class I SAM-dependent methyltransferase,,protein-coding,WP_003971452.1,class I SAM-dependent methyltransferase,242,SLIV_RS00905
NZ_CP009124.1,170388,171221,minus,thioesterase II family protein,,protein-coding,WP_003971453.1,thioesterase II family protein,277,SLIV_RS00910
NZ_CP009124.1,171218,172453,minus,cytochrome P450,,protein-coding,WP_016328185.1,cytochrome P450,411,SLIV_RS00915
NZ_CP009124.1,172462,174402,minus,Gfo/Idh/MocA family oxidoreductase,,protein-coding,WP_016328184.1,Gfo/Idh/MocA family oxidoreductase,646,SLIV_RS00920
NZ_CP009124.1,174399,175550,minus,saccharopine dehydrogenase NADP-binding domain-containing protein,,protein-coding,WP_003971456.1,saccharopine dehydrogenase NADP-binding domain-containing protein,383,SLIV_RS00925
NZ_CP009124.1,175547,181075,minus,non-ribosomal peptide synthetase,,protein-coding,WP_003971457.1,non-ribosomal peptide synthetase,1842,SLIV_RS00930
NZ_CP009124.1,181072,187761,minus,non-ribosomal peptide synthetase,,protein-coding,WP_038534181.1,non-ribosomal peptide synthetase,2229,SLIV_RS00935
NZ_CP009124.1,187923,189584,plus,"(2,3-dihydroxybenzoyl)adenylate synthase",,protein-coding,WP_003971460.1,"(2,3-dihydroxybenzoyl)adenylate synthase",553,SLIV_RS00940
